"Kanji";"Hiragana";"English"
"かれ";"かれ";"that (indicating something distant from both speaker and listener (in space, time or psychologically), or something understood without naming it directly), that person (used to refer to one's equals or inferiors), over there; (noun) down there (i.e. one's genitals), period, menses; (interjection) hey (expression of surprise or suspicion), eh?; (noun) that (something mentioned before which is distant psychologically or in terms of time)"
"かれら";"かれら";"they (usually male), them"
"カレンダー";"カレンダー";"calendar, calender (machine for flattening things)"
"カロリー";"カロリー";"calorie"
"かわ";"かわ";"river, stream; (suffix) the .... river, (suffix used with the names of rivers)"
"皮";"かわ";"skin, hide, pelt, fur, rind, peel, husk, bark, shell, sheath, wrapping"
"かわ";"かわ";"leather"
"~側";"~がわ";
"かわいがる";"かわいがる";"to love, to be affectionate"
"かわいらしい";"かわいらしい";"lovely, sweet"
"かわく";"かわく";"to get dry"
"かわく";"かわく";"to be thirsty"
"かわせ";"かわせ";"money order, draft, exchange (e.g. foreign)"
"かわら";"かわら";"gram, gramme"
"代わり";"かわり";"substitute, deputy, proxy, alternate, relief, compensation, second helping; (noun,) in place of, as a substitute for"
"かわる";"かわる";"to take the place of, to relieve, to be substituted for, to be exchanged, to change places with, to take turns, to be replaced"
"変わる";"かわる";"to change, to be transformed, to vary, to be revised, to be different, to move location"
"かん";"かん";"can, tin"
"~刊";"~かん";
"~間";"~かん";
"~かん";"~かん";
"~館";"~かん";
"~感";"~かん";
"考え";"かんがえ";"thinking, thought, ideas, intention"
"感覚";"かんかく";"sense, sensation, feeling, intuition"
"かんかく";"かんかく";"space, interval, SPC"
"観客";"かんきゃく";"audience, spectator, spectators"
"かんきょう";"かんきょう";"environment, circumstance"
"関係";"かんけい";"relation, connection"
"かんげい";"かんげい";"welcome, reception"
"観光";"かんこう";"sightseeing"
"かんごふ";"かんごふ";"nurse"
"関西";"かんさい";"Kansai (south-western half of Japan, including Osaka)"
"観察";"かんさつ";"observation, survey"
"感じ";"かんじ";"feeling, sense, impression"
"漢字";"かんじ";"Chinese characters, kanji"
"元日";"がんじつ";"New Year's Day"
"かんしゃ";"かんしゃ";"thanks, gratitude"
"かんじゃ";"かんじゃ";"patient"
"かんしょう";"かんしょう";"appreciation (e.g. of art), aesthetic sense"
"感情";"かんじょう";"emotion, feeling, feelings, sentiment"
"感じる";"かんじる";"to feel, to sense, to experience"
"かんずる";"かんずる";"to feel, to sense"
"かんしん";"かんしん";"admiration, Well done!"
"関心";"かんしん";"concern, interest"
"完成";"かんせい";"complete, completion, perfection, accomplishment"
"かんせつ";"かんせつ";"indirection, indirectness"
"完全";"かんぜん";"perfection, completeness"
"感想";"かんそう";"impressions, thoughts"
"観測";"かんそく";"observation"
"寒帯";"かんたい";"frigid zone or belt"
"かんたん";"かんたん";"simple"
"かんちょう";"かんちょう";"government office, authorities"
"関東";"かんとう";"Kantou (eastern half of Japan, including Tokyo)"
"感動";"かんどう";"being deeply moved emotionally, excitement, passion, deep emotion, impression"
"かんとく";"かんとく";"supervision, control, superintendence, direction; (noun) director, superintendent, supervisor, coach, foreman, manager, overseer, controller, boss"
"かんばん";"かんばん";"sign, signboard, doorplate, poster, billboard, appearance, figurehead, policy, attraction, closing time"
"かんむり";"かんむり";"cap (esp. a traditional cap worn with sokutai or ikan clothing), crown, diadem, coronet; (noun) top kanji radical, first verse of a haikai, etc.; (adverb) best, peerless, first"
"管理";"かんり";"control, management (e.g. of a business)"
"関連";"かんれん";"relation, connection, relevance"
"漢和";"かんわ";"China and Japan, Chinese and Japanese (languages), Chinese Character-Japanese dictionary"
"木";"き";"tree, wood, timber"
"気";"き";"spirit, mind, heart, nature, disposition, motivation, intention, mood, feelings, atmosphere, essence"
"~期";"~き";
"~器";"~き";
"~機";"~き";
"議員";"ぎいん";"member of the Diet, congress or parliament"
"きおく";"きおく";"memory, recollection, remembrance, storage"
"気温";"きおん";"atmospheric temperature"
"機会";"きかい";"chance, opportunity"
"きかい";"きかい";"machine, mechanism, instrument, appliance, apparatus"
"きかい";"きかい";"machine, mechanism, instrument, appliance, apparatus"
"議会";"ぎかい";"Diet, congress, parliament"
"期間";"きかん";"period, term, interval"
"機関";"きかん";"engine, agency, organisation, organization, institution, organ, system, facility, facilities"
"きぎょう";"きぎょう";"enterprise, undertaking, corporation, business"
"ききん";"ききん";"famine, drought, shortage, crop failure"
"聞く";"きく";"to hear, to listen (e.g. to music), to ask, to enquire, to query"
"効く";"きく";"to be effective, to show effect, to do its work, to carry out its function well, to be possible to use"
"きけん";"きけん";"danger, peril, hazard; (adjectival) dangerous, hazardous"
"期限";"きげん";"term, period, time frame, time limit, deadline, cutoff (date)"
"きげん";"きげん";"humour, humor, temper, mood"
"気候";"きこう";"climate"
"岸";"きし";"bank, coast, shore"
"きじ";"きじ";"cloth, material, texture, one's true character, unglazed pottery, uncooked dough, batter"
"記事";"きじ";"article, news story, report, account"
"ぎし";"ぎし";"engineer, technician"
"ぎしき";"ぎしき";"ceremony, rite, ritual, service"
"きしゃ";"きしゃ";"train (steam)"
"記者";"きしゃ";"reporter"
"技術";"ぎじゅつ";"art, craft, technique, technology, engineering, skill"
"きじゅん";"きじゅん";"standard, basis, criterion, norm, reference, datum"
"規準";"きじゅん";"standard, basis, criterion, norm, reference, datum"
"きしょう";"きしょう";"rising, getting out of bed"
"きず";"きず";"wound, injury, cut, gash, bruise, scratch, scrape, scar, chip, crack, scratch, nick, flaw, defect, weakness, weak point, stain (on one's reputation), disgrace, dishonor, dishonour, (emotional) hurt, hurt feelings"
"きせつ";"きせつ";"season"
"きせる";"きせる";"to put clothes on (someone), to plate, to gild, to veneer, to accuse (of some crime), to give (a bad name)"
"きそ";"きそ";"foundation, basis"
"規則";"きそく";"rules, regulations, conventions"
"北";"きた";"north"
"ギター";"ギター";"guitar"
"期待";"きたい";"expectation, anticipation, hope"
"きたい";"きたい";"vapour, vapor, gas"
"きち";"きち";"base"
"きちょう";"きちょう";"precious, valuable"
"議長";"ぎちょう";"chairman, speaker (e.g. of assembly), president (e.g. of council, senate, etc.), moderator (e.g. of a newsgroup)"
"きちんと";"きちんと";"precisely, accurately, neatly"
"きつい";"きつい";"intense, severe, hard, determined, forceful, formidable, strong, tight, close"
"きっかけ";"きっかけ";"chance, start, cue, excuse, motive, impetus, occasion"
"きっと";"きっと";"surely, undoubtedly, almost certainly, most likely (e.g. 90 percent), sternly, severely"
"ぎっしり";"ぎっしり";"tightly, fully"
"切手";"きって";"stamp (postage), merchandise certificate"
"記念";"きねん";"commemoration, memory"
"きのう";"きのう";"yesterday"
"機能";"きのう";"function, facility, faculty, feature"
"きばん";"きばん";"foundation, basis, base, footing"
"寄付";"きふ";"contribution, donation"
"気分";"きぶん";"feeling, mood"
"希望";"きぼう";"hope, wish, aspiration"
"きほん";"きほん";"foundation, basis, standard"
"君";"きみ";"you, buddy, pal, monarch, ruler, sovereign, (one's) master"
"気味";"きみ";"sensation, feeling"
"~気味";"~ぎみ";
"きみょう";"きみょう";"strange, queer, curious"
"ぎむ";"ぎむ";"duty, obligation, responsibility"
"気持ち";"きもち";"feeling, sensation, mood"
"着物";"きもの";"clothing, clothes, kimono (or other trad. Japanese clothing)"
"ぎもん";"ぎもん";"question, problem, doubt, guess"
"客";"きゃく";"guest, visitor, customer, client, shopper, spectator, audience, tourist, sightseer, passenger"
"客間";"きゃくま";"parlor, parlour, guest room"
"キャプテン";"キャプテン";"captain"
"ギャング";"ギャング";"gang, gangster"
"キャンパス";"キャンパス";"campus"
"キャンプ";"キャンプ";"camp"
"九";"きゅう";"nine"
"旧";"きゅう";"ex-, former, old"
"級";"きゅう";"class, grade, rank, school class, grade"
"球";"きゅう";"globe, sphere, ball"
"きゅうか";"きゅうか";"holiday, day off, furlough, absence (from work)"
"休業";"きゅうぎょう";"closed (e.g. store), business suspended, shutdown, holiday"
"きゅうけい";"きゅうけい";"rest, break, recess, intermission"
"きゅうげき";"きゅうげき";"sudden, precipitous, radical"
"きゅうしゅう";"きゅうしゅう";"absorption, suction, attraction"
"救助";"きゅうじょ";"relief, aid, rescue"
"急速";"きゅうそく";"rapid (e.g. progress)"
"急に";"きゅうに";"swiftly, rapidly, suddenly, abruptly, immediately"
"ぎゅうにゅう";"ぎゅうにゅう";"milk"
"きゅうよ";"きゅうよ";"pay, salary, wages, allowance, grant, supply"
"給料";"きゅうりょう";"salary, wages"
"今日";"きょう";"today, this day"
"~教";"~きょう";
"~行";"~ぎょう";
"~業";"~ぎょう";
"強化";"きょうか";"strengthen, intensify, reinforce, solidify, enhancement"
"教会";"きょうかい";"church"
"境界";"きょうかい";"boundary"
"教科書";"きょうかしょ";"textbook, text book"
"競技";"きょうぎ";"game, match, contest"
"ぎょうぎ";"ぎょうぎ";"manners, behavior, behaviour"
"きょうきゅう";"きょうきゅう";"supply, provision"
"共産~";"きょうさん~";
"教師";"きょうし";"teacher (classroom)"
"行事";"ぎょうじ";"event, function"
"教室";"きょうしつ";"classroom"
"きょうじゅ";"きょうじゅ";"professor, teaching, instruction"
"きょうしゅく";"きょうしゅく";"shame, very kind of you, sorry to trouble"
"競争";"きょうそう";"competition, contest; (noun) to compete"
"兄弟";"きょうだい";"siblings, brothers and sisters"
"きょうちょう";"きょうちょう";"emphasis, highlight, stress, stressed point"
"共通";"きょうつう";"commonness, community; (noun,) -wide"
"共同";"きょうどう";"doing together (as equals), sharing, common (land, etc.), joint (statement, etc.), cooperation, co-operation, collaboration, association"
"きょうふ";"きょうふ";"fear, dread, dismay, terror"
"きょうみ";"きょうみ";"interest (in something)"
"きょうよう";"きょうよう";"culture, education, refinement, cultivation"
"協力";"きょうりょく";"cooperation, collaboration"
"強力";"きょうりょく";"powerful, strong"
"許可";"きょか";"permission, approval, authorization"
"漁業";"ぎょぎょう";"fishing (industry)"
"局";"きょく";"channel (i.e. TV or radio), station, department, affair, situation"
"きょだい";"きょだい";"huge, gigantic, enormous"
"きらい";"きらい";"dislike, hate; (suffix) suspicion, tendency, smack (of)"
"~きる";"~きる";
"切れ";"きれ";"piece, slice, strip, scrap, cloth, sharpness; (counter) counter for scraps, pieces, etc."
"~切れ";"~きれ";
"きれい";"きれい";"pretty, lovely, beautiful, fair, clean, clear, pure, tidy, neat, completely, entirely"
"切れる";"きれる";"to cut well, to be sharp, to break (off), to snap, to wear out, to be injured, to burst, to collapse, to be disconnected, to be out of, to expire, to sever (connections) with, to be shrewd, to have a sharp mind, to drop under (a certain figure), to beat (e.g. a time), to flip, to lose one's temper; (auxiliary) to be able to do completely"
"キロ";"キロ";"kilo-, kilogram, kilogramme, kilometre, kilometer, 10^3"
"記録";"きろく";"record, minutes, document, a record (e.g. in sports), results, score; (noun) to record, to document, to set a record (e.g. in sports), to show a result, to reach a value"
"ぎろん";"ぎろん";"argument, discussion, dispute, controversy"
"気を付ける";"きをつける";"to be careful, to pay attention, to take care"
"銀";"ぎん";"silver, silver coin, silver paint; (noun) silver general (shogi)"
"きんえん";"きんえん";"No Smoking!, Smoking Prohibited!; (noun) abstaining from smoking, quitting smoking"
"金額";"きんがく";"amount of money"
"きんぎょ";"きんぎょ";"goldfish"
"金庫";"きんこ";"safe, vault, treasury, provider of funds"
"銀行";"ぎんこう";"bank"
"禁止";"きんし";"prohibition, inhibition, ban"
"近所";"きんじょ";"neighbourhood, neighborhood"
"きんせん";"きんせん";"money, cash"
"きんぞく";"きんぞく";"metal"
"近代";"きんだい";"present day, modern times"
"きんちょう";"きんちょう";"tension, mental strain, nervousness"
"きんにく";"きんにく";"muscle, sinew"
"きんゆう";"きんゆう";"financing, credit transacting, loaning of money, circulation of money"
"金曜";"きんよう";"Friday"
"具合";"ぐあい";"condition, state, manner, health"
"くいき";"くいき";"limits, boundary, domain, zone, sphere, territory, area (e.g. in programming languages)"
"空~";"くう~";
"空気";"くうき";"air, atmosphere"
"空港";"くうこう";"airport"
"空中";"くうちゅう";"sky, air"
"クーラー";"クーラー";"cooler, air conditioner"
"くぎ";"くぎ";"nail (i.e. small metal spike)"
"草";"くさ";"grass"
"くさい";"くさい";"stinking, smelly, suspicious, fishy, clumsy"
"くし";"くし";"comb"
"くしゃみ";"くしゃみ";"sneeze"
"苦情";"くじょう";"complaint, troubles, objection, grievance"
"くず";"くず";"waste, scrap, garbage, chad"
"薬";"くすり";"medicine, pharmaceuticals, (legal) drugs, efficacious chemical (i.e. gunpowder, pesticide, etc.), (pottery) glaze, small bribe"
"くずれる";"くずれる";"to collapse, to crumble"
"管";"くだ";"pipe, tube"
"具体";"ぐたい";"concrete, tangible, material"
"くだく";"くだく";"to break, to smash"
"くだける";"くだける";"to break, to be broken"
"くたびれる";"くたびれる";"to get tired, to wear out"
"果物";"くだもの";"fruit"
"くだらない";"くだらない";"good-for-nothing, stupid, trivial, worthless"
"下り";"くだり";"down-train (going away from Tokyo), down-slope, downward going"
"口";"くち";"mouth, opening, hole, gap, orifice, mouth (of a bottle), spout, nozzle, mouthpiece, gate, door, entrance, exit, speaking, speech, talk (i.e. gossip), taste, palate, mouth (to feed), opening (i.e. vacancy), available position, invitation, summons, kind, sort, type, opening (i.e. beginning); (counter) counter for mouthfuls, shares (of money), and swords"
"~口";"~くち";
"くつ";"くつ";"shoes, footwear"
"くっつく";"くっつく";"to adhere to, to keep close to"
"くっつける";"くっつける";"to attach"
"ぐっすり";"ぐっすり";"sound asleep, fast asleep"
"くどい";"くどい";"verbose, importunate, wordy, repetitious, long-winded, heavy (taste), gaudy, loud, greasy"
"国";"くに";"country, (the) state, region, province (of Japan), home (i.e. hometown, home country), land, earth"
"首";"くび";"head, mind, brain, intellect, top, hair (on one's head), bangs, fringe, top structural component of a kanji"
"工夫";"くふう";"scheme, device, scheming, devising, figuring out, coming up with, solving ingeniously, dedication to spiritual improvement (esp. through Zen meditation)"
"くみ";"くみ";"set (of items), group (of people), class (of students), company (esp. construction), family (i.e. mafia), team, typesetting, composition"
"組合";"くみあい";"association, union"
"組合せ";"くみあわせ";"combination"
"くむ";"くむ";"to cross (legs or arms), to link (arms), to put together, to construct, to assemble, to produce (e.g. TV program), to braid, to plait, to grapple, to wrestle, to unite, to link up, to form an alliance, to set (e.g. type), to issue (e.g. money order)"
"くむ";"くむ";"to draw (water), to ladle, to dip, to scoop, to pump, to have a drink together, to consider, to sympathize with, to sympathise with"
"くむ";"くむ";"to serve sake"
"雲";"くも";"cloud"
"位";"くらい";"throne, crown, (nobleman's) seat, government position, court rank, social standing, rank, class, echelon, rung; (noun) grade (of quality, etc.), level, tier, rank; (noun) digit (e.g. the tens, the hundreds, etc.), place, degree, extent, amount"
"~くらい";"~くらい";
"くらし";"くらし";"living, livelihood, subsistence, circumstances"
"クラシック";"クラシック";"classical music; (adjectival) classic, classical; (noun) (the) classics"
"クラス";"クラス";"class"
"グラス";"グラス";"glass, grass"
"比べる";"くらべる";"to compare, to make a comparison, to compete, to vie"
"グラム";"グラム";"gram, gramme"
"グランド";"グランド";"gland, grand, ground (e.g. land, electrical, base material of textiles, etc.)"
"クリーニング";"クリーニング";"cleaning, dry cleaning, laundry service"
"クリーム";"クリーム";"cream"
"くりかえす";"くりかえす";"to repeat, to do something over again"
"クリスマス";"クリスマス";"Christmas"
"グループ";"グループ";"group (usu. of people)"
"車";"くるま";"car, automobile, vehicle, wheel"
"くるむ";"くるむ";"to wrap up, to tuck in, to pack, to do up, to cover with, to dress in; (Godan) to conceal, to hide, to be engulfed in, to be enveloped by"
"くれ";"くれ";"year end, sunset, nightfall, end"
"くれぐれも";"くれぐれも";"repeatedly, sincerely, earnestly"
"くれる";"くれる";"to give, to let one have, to do for one, to be given"
"黒";"くろ";"black, dark, bad guy, 'black hat'"
"苦労";"くろう";"troubles, hardships"
"くわえる";"くわえる";"to hold in one's mouth"
"くわしい";"くわしい";"knowing very well, detailed, full, accurate"
"くん";"くん";"native Japanese reading (rendering) of a Chinese character"
"~君";"~くん";
"軍";"ぐん";"army, force, troops"
"ぐんたい";"ぐんたい";"army, troops"
"訓練";"くんれん";"practice, practise, training"
"毛";"け";"hair, fur"
"下";"げ";"below, down, under, bottom, beneath, underneath, just after, right after, inferiority, one's inferior (i.e. one's junior), younger (e.g. of siblings), trade-in; (noun,) preliminary, preparatory"
"計";"けい";"plan, meter, measuring device; (prefix) (in) total, total (of)"
"~形";"~けい";
"~型";"~けい";
"経営";"けいえい";"management, administration"
"計画";"けいかく";"plan, project, schedule, scheme, program, programme"
"けいかん";"けいかん";"policeman"
"景気";"けいき";"condition, state, business (condition)"
"経験";"けいけん";"experience"
"けいこう";"けいこう";"tendency, trend, inclination"
"けいこく";"けいこく";"warning, advice"
"けいざい";"けいざい";"economics, business, finance, economy"
"けいさつ";"けいさつ";"police"
"計算";"けいさん";"calculation, reckoning, count, forecast"
"けいじ";"けいじ";"notice, bulletin, post, posting, placard"
"けいじ";"けいじ";"detective; (noun) criminal matter"
"形式";"けいしき";"form (as opposed to substance), formality, method, system, style, format, mode, appearance, form (something takes), math expression"
"芸術";"げいじゅつ";"art, the arts"
"けいぞく";"けいぞく";"continuation"
"けいと";"けいと";"knitting wool"
"けいど";"けいど";"longitude"
"芸能";"げいのう";"public entertainment, accomplishments, attainments"
"競馬";"けいば";"horse racing"
"けいび";"けいび";"defense, defence, guard, policing, security"
"けいやく";"けいやく";"contract, compact, agreement"
"経由";"けいゆ";"go by the way, via"
"けいようどうし";"けいようどうし";"na-adjective (adj-na), quasi-adjective, adjectival noun, nominal adjective"
"ケーキ";"ケーキ";"cake"
"ケース";"ケース";"case, Computer-Aided Software Engineering, CASE"
"ゲーム";"ゲーム";"game"
"けが";"けが";"injury (to animate object), hurt"
"外科";"げか";"surgical department"
"げき";"げき";"drama, play, powerful drug"
"げきじょう";"げきじょう";"theatre, theater, playhouse"
"けしき";"けしき";"scenery, scene, landscape"
"下車";"げしゃ";"alighting (from train, bus, etc.), getting off"
"げじゅん";"げじゅん";"month (last third of)"
"けしょう";"けしょう";"make-up, cosmetics"
"けち";"けち";"stinginess, miserliness, penny-pinching, cheesparing, miser, pinchpenny, skinflint, cheapskate, tightwad, niggard, shabby, cheap, mangy, poor, petty, narrow-minded, quibbling, mean-spirited, bad luck, ill omen, glitch"
"血液";"けつえき";"blood"
"結果";"けっか";"result, consequence, outcome, effect; (noun) coming to fruition, bearing fruit"
"けっかん";"けっかん";"defect, fault, deficiency, deformity, shortage, gap"
"結局";"けっきょく";"after all, eventually, in the end"
"結構";"けっこう";"splendid, nice, wonderful, delicious, sweet; (adjectival) sufficient, fine (in the sense of ""I'm fine""), (by implication) no thank you; (adjectival) well enough, OK, tolerable; (adverb) reasonably, fairly, tolerably; (noun) construction, architecture"
"けっこん";"けっこん";"marriage"
"決して";"けっして";"never, by no means, decidedly, indisputably"
"決定";"けってい";"decision, determination"
"けつろん";"けつろん";"conclusion"
"気配";"けはい";"indication, sign, hint, presence, trend, quotation (esp. stock market)"
"下品";"げひん";"inferior article"
"けむい";"けむい";"smoky"
"けむり";"けむり";"smoke, fumes"
"ける";"ける";"to kick, to refuse, to reject"
"県";"けん";"prefecture (of Japan), county (of China)"
"~けん";"~けん";
"現~";"げん~";
"げんいん";"げんいん";"cause, origin, source"
"見解";"けんかい";"opinion, point of view"
"限界";"げんかい";"limit, bound"
"見学";"けんがく";"inspection, study by observation, field trip"
"げんかん";"げんかん";"entranceway, entry hall, vestibule, foyer"
"元気";"げんき";"health(y), robust, vigor, vigour, energy, vitality, vim, stamina, spirit, courage, pep"
"研究";"けんきゅう";"study, research, investigation"
"現金";"げんきん";"cash, ready money, mercenary, self-interested"
"言語";"げんご";"language"
"けんこう";"けんこう";"health, sound, wholesome"
"げんこう";"げんこう";"manuscript, copy"
"検査";"けんさ";"inspection (e.g. customs, factory), examination, scan (e.g. MRI, PET, etc.)"
"現在";"げんざい";"now, current, present, present time, as of"
"げんし";"げんし";"origin, primeval"
"現実";"げんじつ";"reality"
"けんしゅう";"けんしゅう";"training (esp. in-service), induction course"
"げんじゅう";"げんじゅう";"strict, rigour, rigor, severe, firm, strong, secure"
"現象";"げんしょう";"phenomenon"
"現状";"げんじょう";"present condition, existing state, status quo"
"建設";"けんせつ";"construction, establishment"
"けんそん";"けんそん";"humble, humility, modesty"
"現代";"げんだい";"nowadays, modern era, modern times, present-day"
"建築";"けんちく";"construction, architecture"
"限度";"げんど";"limit, bounds"
"けんとう";"けんとう";"aim, mark, estimate, guess, approximation, direction"
"けんとう";"けんとう";"consideration, examination, investigation, study, scrutiny, discussion"
"現場";"げんば";"actual spot, scene, scene of the crime"
"けんぽう";"けんぽう";"constitution"
"けんめい";"けんめい";"eagerness, earnestness, risking one's life"
"けんり";"けんり";"right, privilege"
"げんり";"げんり";"principle, theory, fundamental truth"
"げんりょう";"げんりょう";"raw materials"
"子";"こ";"child, young (animal), young woman, young geisha, offshoot, interest, new shares, bird egg; (noun,) (after a noun or -masu stem) -er (often of young women)"
"小~";"こ~";
"~個";"~こ";
"~湖";"~こ";
"五";"ご";"five"
"ご";"ご";"language, word"
"~ご";"~ご";
"こい";"こい";"love, tender passion"
"こい";"こい";"deep (colour), dark, strong (flavour, smell, etc.), thick (consistency), dense, strong (possibility, etc.), thick (i.e. ""as thick as thieves""), close, deep (love, etc.)"
"こいびと";"こいびと";"lover, sweetheart"
"こう";"こう";"to ask, to request, to invite"
"高~";"こう~";
"~校";"~こう";
"~港";"~こう";
"~号";"~ごう";
"こういん";"こういん";"factory worker"
"強引";"ごういん";"overbearing, coercive, pushy, forcible, high-handed"
"こうえん";"こうえん";"park"
"講演";"こうえん";"lecture, address, speech"
"効果";"こうか";"effect, effectiveness, efficacy, result"
"こうか";"こうか";"coin"
"ごうか";"ごうか";"wonderful, gorgeous, splendor, splendour, pomp, extravagance"
"こうがい";"こうがい";"suburb, outskirts"
"こうがい";"こうがい";"pollution, public nuisance, contamination"
"合格";"ごうかく";"success, passing (e.g. exam), eligibility"
"こうかん";"こうかん";"exchange, interchange, switching, reciprocity, barter, substitution, replacement, clearing (of checks, cheques)"
"こうぎ";"こうぎ";"lecture"
"高級";"こうきゅう";"high class, high grade"
"こうきょう";"こうきょう";"public, community, public service, society, communal"
"工業";"こうぎょう";"industry"
"航空";"こうくう";"aviation, flying"
"光景";"こうけい";"scene, spectacle"
"工芸";"こうげい";"industrial arts"
"合計";"ごうけい";"sum total, total amount"
"こうげき";"こうげき";"attack, strike, offensive, criticism, censure"
"こうけん";"こうけん";"contribution, services"
"こうこう";"こうこう";"filial piety"
"高校";"こうこう";"senior high school"
"広告";"こうこく";"advertisement"
"こうさ";"こうさ";"crossing, intersection, (genetic) crossing over"
"講師";"こうし";"lecturer"
"工事";"こうじ";"construction work, construction, work (related to construction, e.g. painting, concrete-pouring, etc.)"
"こうしき";"こうしき";"formality, formal, official, formula"
"こうして";"こうして";"thus"
"こうしゃ";"こうしゃ";"school building"
"工場";"こうじょう";"factory, plant, mill, workshop"
"こうすい";"こうすい";"perfume"
"こうせい";"こうせい";"justice, fairness, impartiality"
"構成";"こうせい";"organization, organisation, configuration, composition"
"こうせき";"こうせき";"achievements, merit, meritorious service, meritorious deed"
"こうせん";"こうせん";"beam, light ray"
"こうそう";"こうそう";"multistory, multistoried, high-rise, high, tall"
"構造";"こうぞう";"structure, construction"
"高速";"こうそく";"high speed, high gear, highway, freeway, expressway, motorway"
"こうたい";"こうたい";"alternation, change, relief, relay, shift, substitution (sports, etc.)"
"こうち";"こうち";"arable land"
"交通";"こうつう";"communication, transportation, traffic, intercourse"
"高度";"こうど";"altitude, height, advanced, high-grade, strong"
"高等";"こうとう";"high class, high grade"
"行動";"こうどう";"action, conduct, behaviour, behavior, mobilization, mobilisation"
"ごうとう";"ごうとう";"robber, mugger, robbery, burglary"
"合同";"ごうどう";"combination, incorporation, union, amalgamation, fusion, congruence"
"こうはい";"こうはい";"junior (at work or school)"
"こうひょう";"こうひょう";"official announcement, proclamation"
"こうほ";"こうほ";"candidate, contender, prospect, pick, choice, list, candidacy, candidature, nomination"
"こうもく";"こうもく";"item, entry"
"交流";"こうりゅう";"intercourse, (cultural) exchange, intermingling, alternating current, AC"
"声";"こえ";"voice"
"コース";"コース";"course"
"コーチ";"コーチ";"coach"
"コート";"コート";"coat, court (i.e. tennis, basketball, etc.)"
"コード";"コード";"code, cord, chord"
"コーラス";"コーラス";"chorus"
"氷";"こおり";"ice, shaved ice (usually served with flavored simple syrup)"
"ゴール";"ゴール";"goal"
"ごかい";"ごかい";"misunderstanding"
"こきゅう";"こきゅう";"breath, respiration, knack, trick, secret (of doing something)"
"こきょう";"こきょう";"home town, birthplace, old village, historic village, native place, one's old home"
"~国";"~こく";
"国王";"こくおう";"king"
"国語";"こくご";"Japanese (language), national language, native Japanese words (as opposed to loanwords)"
"国際";"こくさい";"international"
"こくせき";"こくせき";"nationality"
"こくふく";"こくふく";"subjugation, conquest, victory"
"国民";"こくみん";"nation, nationality, people, citizen"
"国立";"こくりつ";"national"
"ここ";"ここ";"here (place physically close to the speaker, place pointed by the speaker while explaining), this place, these last (followed by a duration noun and a past sentence: time period before the present time of the speaker), these next ... (followed by a duration noun and a non past sentence: time period after the present time of the speaker), the next ..."
"午後";"ごご";"afternoon, p.m."
"こごえる";"こごえる";"to freeze, to be chilled, to be frozen"
"九日";"ここのか";"the ninth day of the month, nine days"
"心";"こころ";"mind, heart, spirit, the meaning of a phrase (riddle, etc.)"
"こし";"こし";"back, lower back, waist, hips, lumbar region, body (of hair, noodle, paper, etc.), resilience, spring"
"こしょう";"こしょう";"break-down, failure, fault, accident, out of order"
"こしょう";"こしょう";"pepper"
"こしらえる";"こしらえる";"to make, to manufacture"
"個人";"こじん";"individual, private person, personal, private"
"こする";"こする";"to touch lightly, to take a percentage (from)"
"午前";"ごぜん";"morning, a.m."
"ごぞんじですか";"ごぞんじですか";
"答";"こたえ";"response, reply, answer, solution"
"こたえる";"こたえる";"to answer, to reply"
"ごちそう";"ごちそう";"feast, treating (someone); (noun) to treat (someone, e.g. to a meal)"
"ごちそうさま";"ごちそうさま";"word used after one has been treated (esp. used after a meal), used after hearing something lovey-dovey"
"こちら";"こちら";"this way (direction close to the speaker or towards the speaker), this direction, here (place close to the speaker or where the speaker is), this one (something physically close to the speaker); (nouns) I, me, this person (someone physically close to the speaker and of equal or higher status)"
"こっち";"こっち";"this way (direction close to the speaker or towards the speaker), this direction, here (place close to the speaker or where the speaker is), this one (something physically close to the speaker); (nouns) I, me, this person (someone physically close to the speaker and of equal or higher status)"
"こちらこそ";"こちらこそ";"it is I who should say so"
"国家";"こっか";"state, country, nation"
"国会";"こっかい";"National Diet, parliament, congress"
"国境";"こっきょう";"national or state border"
"コック";"コック";"cook, tap, spigot, faucet, cock, cock (male fowl), cock (penis)"
"こっそり";"こっそり";"stealthily, secretly"
"コップ";"コップ";"glass (i.e. drinking vessel), tumbler, cop (police officer)"
"こてん";"こてん";"old book, classics, classic"
"事";"こと";"thing, matter, fact, circumstances, business, reason, experience"
"こと";"こと";"koto (13-stringed Japanese zither), stringed instrument, zheng (Chinese zither), guzheng"
"~毎";"~ごと";
"~ごと";"（まるごと）";
"今年";"ことし";"this year"
"言付ける";"ことづける";"to tell (to do), to order, to charge, to direct, to tell on (someone), to report, to often say"
"言葉";"ことば";"language, dialect, word, words, phrase, term, expression, remark, speech, (manner of) speaking"
"こども";"こども";"child, children"
"ことわざ";"ことわざ";"proverb, maxim"
"この";"この";"nine"
"このあいだ";"このあいだ";"the other day, lately, recently, during this period, meanwhile, in the meantime"
"こないだ";"こないだ";"the other day, lately, recently"
"このごろ";"このごろ";"recently, nowadays, these days"
"好み";"このみ";"liking, taste, choice"
"コピー";"コピー";"copy, photocopy, blurb on a book jacket, catch copy"
"ごぶさた";"ごぶさた";"not writing or contacting for a while, neglecting (failing) to write (call, visit, etc.), long silence"
"こぼす";"こぼす";"to spill, to grumble"
